name,label,district_key,district,attribute_1,attribute_2,latitude,longitude,source_file,id
pt_00075,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.951558145022394,34.76674402011463,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00075
pt_00076,Chikwawa - high grazing pressure,chikwawa,Chikwawa,high grazing pressure,severity=0,-15.950614266615789,34.77733062307426,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00076
pt_00077,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.950894031129662,34.77618018955926,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00077
pt_00078,Chikwawa - grazing dispute,chikwawa,Chikwawa,grazing dispute,severity=0,-15.95144833091416,34.77518401872015,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00078
pt_00079,Chikwawa - grazing dispute,chikwawa,Chikwawa,grazing dispute,severity=0,-15.951576447373784,34.77831110618364,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00079
pt_00080,Chikwawa - fertility loss,chikwawa,Chikwawa,fertility loss,severity=0,-15.950736087066543,34.77413334243278,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00080
pt_00081,Chikwawa - gulley,chikwawa,Chikwawa,gulley,severity=3,-15.95063541785889,34.774917277113666,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00081
pt_00082,Chikwawa - terraces,chikwawa,Chikwawa,terraces,severity=0,-15.948720025540933,34.77697430243924,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00082
pt_00083,Chikwawa - terraces,chikwawa,Chikwawa,terraces,severity=0,-15.950033493787352,34.77537864461738,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00083
pt_00084,Chikwawa - riparian agriculture,chikwawa,Chikwawa,riparian agriculture,severity=0,-15.950812977859306,34.77128038863408,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00084
pt_00085,Chikwawa - wild life corridors,chikwawa,Chikwawa,wild life corridors,severity=0,-15.950700549129431,34.7726007725547,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00085
pt_00086,Chikwawa - irrigation,chikwawa,Chikwawa,irrigation,severity=0,-15.950269136561309,34.77219550620283,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00086
pt_00087,Chikwawa - sedimentation,chikwawa,Chikwawa,sedimentation,severity=3,-15.951673188373938,34.77202294117558,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00087
pt_00088,Chikwawa - wild life corridors,chikwawa,Chikwawa,wild life corridors,severity=0,-15.952558237794,34.773005058423486,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00088
pt_00089,Chikwawa - riparian agriculture,chikwawa,Chikwawa,riparian agriculture,severity=0,-15.953341316970686,34.77392638571859,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00089
pt_00090,Chikwawa - permanent wetland,chikwawa,Chikwawa,permanent wetland,severity=0,-15.953077240186564,34.77503498528758,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00090
pt_00091,Chikwawa - irrigation,chikwawa,Chikwawa,irrigation,severity=0,-15.952222258915189,34.77404927293497,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00091
pt_00092,Chikwawa - gulley,chikwawa,Chikwawa,gulley,severity=3,-15.953576632916931,34.776893981262944,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00092
pt_00093,Chikwawa - fertility loss,chikwawa,Chikwawa,fertility loss,severity=0,-15.954070796404055,34.7764599540732,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00093
pt_00094,Chikwawa - seasonal wetland,chikwawa,Chikwawa,seasonal wetland,severity=0,-15.954195252393404,34.77512189531039,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00094
pt_00095,Chikwawa - sedimentation,chikwawa,Chikwawa,sedimentation,severity=3,-15.954678532518024,34.775550229161574,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00095
pt_00096,Chikwawa - riparian agriculture,chikwawa,Chikwawa,riparian agriculture,severity=0,-15.95551929678432,34.77643119323535,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00096
pt_00097,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.954287809998943,34.7784549103731,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00097
pt_00098,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.957085141383102,34.78056532836396,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00098
pt_00099,Chikwawa - permanent wetland,chikwawa,Chikwawa,permanent wetland,severity=0,-15.95745160675006,34.7795797205962,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00099
pt_00100,Chikwawa - gulley,chikwawa,Chikwawa,gulley,severity=3,-15.9568927052315,34.7793370837094,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00100
pt_00101,Chikwawa - grazing disputes,chikwawa,Chikwawa,grazing disputes,severity=0,-15.955492104719433,34.78070254370683,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00101
pt_00102,Chikwawa - terraces,chikwawa,Chikwawa,terraces,severity=0,-15.955716210475464,34.78013807304423,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00102
pt_00103,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.966129758166268,34.76213395194841,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00103
pt_00104,Chikwawa - seasonal stream,chikwawa,Chikwawa,seasonal stream,severity=0,-15.965868596685263,34.764393998198294,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00104
pt_00105,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.966918485334205,34.76117108689493,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00105
pt_00106,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.96478006188603,34.76713952248909,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00106
pt_00107,Chikwawa - permanent wetland,chikwawa,Chikwawa,permanent wetland,severity=0,-15.96690571862705,34.76887579466194,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00107
pt_00108,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.964479278265506,34.766464419014845,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00108
pt_00109,Chikwawa - forest loss,chikwawa,Chikwawa,forest loss,severity=0,-15.964380249471471,34.76193311632489,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00109
pt_00110,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.96368850842444,34.76947582989817,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00110
pt_00111,Chikwawa - permanent wetland,chikwawa,Chikwawa,permanent wetland,severity=0,-15.965277963465022,34.76916304557291,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00111
pt_00112,Chikwawa - gulley,chikwawa,Chikwawa,gulley,severity=3,-15.965157445749496,34.75466593893208,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00112
pt_00113,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.965083909516297,34.7556668487729,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00113
pt_00114,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.967849688953985,34.75549117888246,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00114
pt_00115,Chikwawa - gulley,chikwawa,Chikwawa,gulley,severity=2,-15.965520530900946,34.758387944735574,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00115
pt_00116,Chikwawa - gulley,chikwawa,Chikwawa,gulley,severity=1,-15.963721364821993,34.759041344807706,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00116
pt_00117,Chikwawa - water conflict area,chikwawa,Chikwawa,water conflict area,severity=0,-15.962546909470818,34.75674129484697,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00117
